group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,50,13,52,7,0.8,0.12280701754385964,0.41253829148949167,0.40105651319026947
Age,Infant,33,23,10,21,1,9,2,0.9,0.08695652173913043,0.47460582039572974,0.4436289370059967
Age,nan,20,5,15,5,4,11,0,0.7333333333333333,0.0,0.4018208846449852,0.40956130623817444
Age,Adolescent,13,6,7,5,2,5,1,0.7142857142857143,0.16666666666666666,0.3955107377125667,0.39597374200820923
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.46213075518608093,0.46213075518608093
Height_missing,present,155,77,78,69,14,64,8,0.8205128205128205,0.1038961038961039,0.4232124676627497,0.4039132297039032
Height_missing,missing,34,14,20,12,6,14,2,0.7,0.14285714285714285,0.4127623289823532,0.4070224314928055
Pregnancy status,False,170,86,84,76,16,68,10,0.8095238095238095,0.11627906976744186,0.4235020276378183,0.4038429856300354
Pregnancy status,True,19,5,14,5,4,10,0,0.7142857142857143,0.0,0.4019214197209007,0.41820427775382996
Sex,Female,104,50,54,44,13,41,6,0.7592592592592593,0.12,0.4224219605899774,0.404638409614563
Sex,Male,85,41,44,37,7,37,4,0.8409090909090909,0.0975609756097561,0.4199996208443361,0.4037727415561676
Weight_missing,present,160,80,80,71,14,66,9,0.825,0.1125,0.42302438952028754,0.40426865220069885
Weight_missing,missing,29,11,18,10,6,12,1,0.6666666666666666,0.09090909090909091,0.4119982534441455,0.4009183347225189
available_positions,"AV,MV,PV,TV",105,48,57,44,10,47,4,0.8245614035087719,0.08333333333333333,0.41590516879445033,0.40069636702537537
available_positions,"AV,MV",25,19,6,15,0,6,4,1.0,0.21052631578947367,0.43450571775436403,0.39667007327079773
available_positions,"MV,PV,TV",14,3,11,2,7,4,1,0.36363636363636365,0.3333333333333333,0.3706511003630502,0.3655012845993042
available_positions,MV,11,6,5,5,0,5,1,1.0,0.16666666666666666,0.48363925381140277,0.4590151309967041
available_positions,"AV,PV,TV",10,3,7,3,1,6,0,0.8571428571428571,0.0,0.4214565962553024,0.4271736592054367
available_positions,"AV,PV",7,2,5,2,1,4,0,0.8,0.0,0.4229219513280051,0.4298940598964691
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.4360912889242172,0.4283777326345444
available_positions,AV,3,1,2,1,0,2,0,1.0,0.0,0.44508881370226544,0.46502411365509033
available_positions,PV,3,1,2,1,0,2,0,1.0,0.0,0.4312286178270976,0.42366257309913635
available_positions,"PV,TV",3,2,1,2,1,0,0,0.0,0.0,0.3796583612759908,0.3781658113002777
available_positions,"MV,PV",2,1,1,1,0,1,0,1.0,0.0,0.4426211416721344,0.4426211416721344
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.6067557334899902,0.6067557334899902
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.41070863604545593,0.41070863604545593
has_all_positions,True,105,48,57,44,10,47,4,0.8245614035087719,0.08333333333333333,0.41590516879445033,0.40069636702537537
has_all_positions,False,84,43,41,37,10,31,6,0.7560975609756098,0.13953488372093023,0.4281167732108207,0.411917582154274
murmur,Absent,145,54,91,46,20,71,8,0.7802197802197802,0.14814814814814814,0.40141045759464133,0.39783820509910583
murmur,Present,32,28,4,27,0,4,1,1.0,0.03571428571428571,0.5121118566021323,0.44215500354766846
murmur,Unknown,12,9,3,8,0,3,1,1.0,0.1111111111111111,0.41997965921958286,0.4296267628669739
outcome,Normal,98,0,98,0,20,78,0,0.7959183673469388,0.0,0.40562011605622816,0.40428298711776733
outcome,Abnormal,91,91,0,81,0,0,10,0.0,0.10989010989010989,0.43825362966610837,0.4037727415561676
position_count,4,105,48,57,44,10,47,4,0.8245614035087719,0.08333333333333333,0.41590516879445033,0.40069636702537537
position_count,2,38,25,13,21,2,11,4,0.8461538461538461,0.16,0.42784270016770615,0.4000406712293625
position_count,3,29,10,19,9,8,11,1,0.5789473684210527,0.1,0.4053380088559512,0.3993646800518036
position_count,1,17,8,9,7,0,9,1,1.0,0.125,0.46758729920667763,0.4590151309967041
top_attention_position,TV,85,37,48,35,14,34,2,0.7083333333333334,0.05405405405405406,0.4222733217127183,0.406053364276886
top_attention_position,MV,49,27,22,23,1,21,4,0.9545454545454546,0.14814814814814814,0.43352608899680933,0.41312652826309204
top_attention_position,AV,33,14,19,12,4,15,2,0.7894736842105263,0.14285714285714285,0.41377415349989227,0.3963150084018707
top_attention_position,PV,22,13,9,11,1,8,2,0.8888888888888888,0.15384615384615385,0.40187699550932104,0.397391676902771
