threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.36999999999999994,0.5343915343915344,0.5094339622641509,0.8901098901098901,0.648,0.20408163265306123,0.6666666666666666,81,20,78,10,selected,full_val
0.36999999999999994,0.5142857142857142,0.4835164835164835,0.9166666666666666,0.6330935251798561,0.17543859649122806,0.7142857142857143,44,10,47,4,selected,complete_position_val
0.2,0.48148148148148145,0.48148148148148145,1.0,0.65,0.0,0.0,91,0,98,0,fixed_0.20,full_val
0.2,0.45714285714285713,0.45714285714285713,1.0,0.6274509803921569,0.0,0.0,48,0,57,0,fixed_0.20,complete_position_val
0.3,0.47619047619047616,0.4787234042553192,0.989010989010989,0.6451612903225806,0.0,0.0,90,0,98,1,fixed_0.30,full_val
0.3,0.44761904761904764,0.4519230769230769,0.9791666666666666,0.618421052631579,0.0,0.0,47,0,57,1,fixed_0.30,complete_position_val
0.4,0.5132275132275133,0.49504950495049505,0.5494505494505495,0.5208333333333334,0.47959183673469385,0.5340909090909091,50,47,51,41,fixed_0.40,full_val
0.4,0.5238095238095238,0.48148148148148145,0.5416666666666666,0.5098039215686274,0.5087719298245614,0.5686274509803921,26,29,28,22,fixed_0.40,complete_position_val
0.5,0.5873015873015873,0.9333333333333333,0.15384615384615385,0.2641509433962264,0.9897959183673469,0.5574712643678161,14,97,1,77,fixed_0.50,full_val
0.5,0.6,1.0,0.125,0.2222222222222222,1.0,0.5757575757575758,6,57,0,42,fixed_0.50,complete_position_val
0.6,0.5661375661375662,1.0,0.0989010989010989,0.18,1.0,0.5444444444444444,9,98,0,82,fixed_0.60,full_val
0.6,0.580952380952381,1.0,0.08333333333333333,0.15384615384615385,1.0,0.5643564356435643,4,57,0,44,fixed_0.60,complete_position_val
0.7,0.5396825396825397,1.0,0.04395604395604396,0.08421052631578947,1.0,0.5297297297297298,4,98,0,87,fixed_0.70,full_val
0.7,0.5714285714285714,1.0,0.0625,0.11764705882352941,1.0,0.5588235294117647,3,57,0,45,fixed_0.70,complete_position_val
0.8,0.5238095238095238,1.0,0.01098901098901099,0.021739130434782608,1.0,0.5212765957446809,1,98,0,90,fixed_0.80,full_val
0.8,0.5523809523809524,1.0,0.020833333333333332,0.04081632653061224,1.0,0.5480769230769231,1,57,0,47,fixed_0.80,complete_position_val
