prob_bin,count,mean_prob_abnormal,observed_abnormal_rate
"(-0.001, 0.1]",2,0.09347303211688995,0.5
"(0.1, 0.2]",17,0.15900157567332773,0.17647058823529413
"(0.2, 0.3]",54,0.25318861311232604,0.37037037037037035
"(0.3, 0.4]",57,0.34016728192044976,0.42105263157894735
"(0.4, 0.5]",21,0.44856458050864084,0.5714285714285714
"(0.5, 0.6]",6,0.5398501952489217,0.6666666666666666
"(0.6, 0.7]",7,0.6513831274850028,0.8571428571428571
"(0.7, 0.8]",3,0.739597499370575,0.6666666666666666
"(0.8, 0.9]",11,0.8565584150227633,0.8181818181818182
"(0.9, 1.0]",11,0.948449579152194,0.9090909090909091
