group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,53,12,53,4,0.8153846153846154,0.07017543859649122,0.3766051877717503,0.3140389919281006
Age,Infant,33,23,10,23,0,10,0,1.0,0.0,0.6200804976802884,0.6237443089485168
Age,nan,20,5,15,3,10,5,2,0.3333333333333333,0.4,0.21632598116993904,0.2000696286559105
Age,Adolescent,13,6,7,6,5,2,0,0.2857142857142857,0.0,0.27531919800318205,0.25506606698036194
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.9300541877746582,0.9300541877746582
Height_missing,present,155,77,78,73,13,65,4,0.8333333333333334,0.05194805194805195,0.41012430806313793,0.32953718304634094
Height_missing,missing,34,14,20,12,14,6,2,0.3,0.14285714285714285,0.34338073432445526,0.24404599517583847
Pregnancy status,False,170,86,84,82,17,67,4,0.7976190476190477,0.046511627906976744,0.41913276376093134,0.3352837711572647
Pregnancy status,True,19,5,14,3,10,4,2,0.2857142857142857,0.4,0.2100864672347119,0.19983816146850586
Sex,Female,104,50,54,46,19,35,4,0.6481481481481481,0.08,0.3814942624706488,0.3102269619703293
Sex,Male,85,41,44,39,8,36,2,0.8181818181818182,0.04878048780487805,0.4184565814102397,0.3624679148197174
Weight_missing,present,160,80,80,76,13,67,4,0.8375,0.05,0.4133234145119786,0.3343370705842972
Weight_missing,missing,29,11,18,9,14,4,2,0.2222222222222222,0.18181818181818182,0.31422297913452674,0.2152063101530075
available_positions,"AV,MV,PV,TV",105,48,57,45,7,50,3,0.8771929824561403,0.0625,0.3587499832823163,0.3127872943878174
available_positions,"AV,MV",25,19,6,19,0,6,0,1.0,0.0,0.5729638743400574,0.5648355484008789
available_positions,"MV,PV,TV",14,3,11,3,6,5,0,0.45454545454545453,0.0,0.27821919534887585,0.26047033816576004
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.7493051913651553,0.8631697297096252
available_positions,"AV,PV,TV",10,3,7,1,7,0,2,0.0,0.6666666666666666,0.17135364115238189,0.14482133835554123
available_positions,"AV,PV",7,2,5,2,2,3,0,0.6,0.0,0.3325557793889727,0.28619518876075745
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.6161497756838799,0.6627123653888702
available_positions,AV,3,1,2,1,2,0,0,0.0,0.0,0.3374638259410858,0.2203758955001831
available_positions,PV,3,1,2,1,1,1,0,0.5,0.0,0.21044078965981802,0.2444516271352768
available_positions,"PV,TV",3,2,1,1,1,0,1,0.0,0.5,0.22074986497561136,0.1360645294189453
available_positions,"MV,PV",2,1,1,1,1,0,0,0.0,0.0,0.5147626847028732,0.5147626847028732
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.891503632068634,0.891503632068634
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.3809233605861664,0.3809233605861664
has_all_positions,True,105,48,57,45,7,50,3,0.8771929824561403,0.0625,0.3587499832823163,0.3127872943878174
has_all_positions,False,84,43,41,40,20,21,3,0.5121951219512195,0.06976744186046512,0.4473269580020791,0.3710891306400299
murmur,Absent,145,54,91,49,27,64,5,0.7032967032967034,0.09259259259259259,0.33823930497827204,0.3053634762763977
murmur,Present,32,28,4,27,0,4,1,1.0,0.03571428571428571,0.6043975069187582,0.5247603803873062
murmur,Unknown,12,9,3,9,0,3,0,1.0,0.0,0.5715661061306795,0.5726730525493622
outcome,Normal,98,0,98,0,27,71,0,0.7244897959183674,0.0,0.31679938323035534,0.3011648505926132
outcome,Abnormal,91,91,0,85,0,0,6,0.0,0.06593406593406594,0.48569091384882457,0.3809233605861664
position_count,4,105,48,57,45,7,50,3,0.8771929824561403,0.0625,0.3587499832823163,0.3127872943878174
position_count,2,38,25,13,24,4,9,1,0.6923076923076923,0.04,0.492754885240605,0.4500814378261566
position_count,3,29,10,19,8,13,6,2,0.3157894736842105,0.2,0.30912785797283565,0.2190624326467514
position_count,1,17,8,9,8,3,6,0,0.6666666666666666,0.0,0.5815335854011423,0.6476570963859558
top_attention_position,MV,103,59,44,59,3,41,0,0.9318181818181818,0.0,0.5003994195495994,0.4081885516643524
top_attention_position,TV,71,26,45,21,19,26,5,0.5777777777777777,0.19230769230769232,0.26873904403666377,0.2541966438293457
top_attention_position,PV,12,5,7,4,3,4,1,0.5714285714285714,0.2,0.3008507415652275,0.2653234079480171
top_attention_position,AV,3,1,2,1,2,0,0,0.0,0.0,0.3374638259410858,0.2203758955001831
