threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.22999999999999998,0.5925925925925926,0.5448717948717948,0.9340659340659341,0.6882591093117408,0.2755102040816326,0.8181818181818182,85,27,71,6,selected,full_val
0.22999999999999998,0.49523809523809526,0.47368421052631576,0.9375,0.6293706293706294,0.12280701754385964,0.7,45,7,50,3,selected,complete_position_val
0.2,0.5396825396825397,0.5117647058823529,0.9560439560439561,0.6666666666666666,0.15306122448979592,0.7894736842105263,87,15,83,4,fixed_0.20,full_val
0.2,0.45714285714285713,0.4563106796116505,0.9791666666666666,0.6225165562913907,0.017543859649122806,0.5,47,1,56,1,fixed_0.20,complete_position_val
0.3,0.6137566137566137,0.5775862068965517,0.7362637362637363,0.6473429951690821,0.5,0.6712328767123288,67,49,49,24,fixed_0.30,full_val
0.3,0.5047619047619047,0.46875,0.625,0.5357142857142857,0.40350877192982454,0.5609756097560976,30,23,34,18,fixed_0.30,complete_position_val
0.4,0.6613756613756614,0.7288135593220338,0.4725274725274725,0.5733333333333334,0.8367346938775511,0.6307692307692307,43,82,16,48,fixed_0.40,full_val
0.4,0.6285714285714286,0.7142857142857143,0.3125,0.43478260869565216,0.8947368421052632,0.6071428571428571,15,51,6,33,fixed_0.40,complete_position_val
0.5,0.6455026455026455,0.8157894736842105,0.34065934065934067,0.4806201550387597,0.9285714285714286,0.6026490066225165,31,91,7,60,fixed_0.50,full_val
0.5,0.6190476190476191,0.9,0.1875,0.3103448275862069,0.9824561403508771,0.5894736842105263,9,56,1,39,fixed_0.50,complete_position_val
0.6,0.6349206349206349,0.84375,0.2967032967032967,0.43902439024390244,0.9489795918367347,0.5923566878980892,27,93,5,64,fixed_0.60,full_val
0.6,0.6190476190476191,1.0,0.16666666666666666,0.2857142857142857,1.0,0.5876288659793815,8,57,0,40,fixed_0.60,complete_position_val
0.7,0.6084656084656085,0.84,0.23076923076923078,0.3620689655172414,0.9591836734693877,0.573170731707317,21,94,4,70,fixed_0.70,full_val
0.7,0.6095238095238096,1.0,0.14583333333333334,0.2545454545454545,1.0,0.5816326530612245,7,57,0,41,fixed_0.70,complete_position_val
0.8,0.6031746031746031,0.8636363636363636,0.2087912087912088,0.336283185840708,0.9693877551020408,0.5688622754491018,19,95,3,72,fixed_0.80,full_val
0.8,0.6,1.0,0.125,0.2222222222222222,1.0,0.5757575757575758,6,57,0,42,fixed_0.80,complete_position_val
