group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,52,17,48,5,0.7384615384615385,0.08771929824561403,0.26414732885409575,0.20300623029470444
Age,Infant,33,23,10,23,0,10,0,1.0,0.0,0.5135533421328573,0.3836353123188019
Age,nan,20,5,15,1,14,1,4,0.06666666666666667,0.8,0.11739430837333202,0.11303433403372765
Age,Adolescent,13,6,7,5,3,4,1,0.5714285714285714,0.16666666666666666,0.2322557453925793,0.17099282145500183
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.9411764740943909,0.9411764740943909
Height_missing,present,155,77,78,71,17,61,6,0.782051282051282,0.07792207792207792,0.311353334832576,0.2099519968032837
Height_missing,missing,34,14,20,10,17,3,4,0.15,0.2857142857142857,0.21240749538821332,0.12008078768849373
Pregnancy status,False,170,86,84,80,20,64,6,0.7619047619047619,0.06976744186046512,0.31396695230813587,0.21273507922887802
Pregnancy status,True,19,5,14,1,14,0,4,0.0,0.8,0.1109073605192335,0.11275944113731384
Sex,Female,104,50,54,45,26,28,5,0.5185185185185185,0.1,0.28865789994597435,0.2017865851521492
Sex,Male,85,41,44,36,8,36,5,0.8181818181818182,0.12195121951219512,0.2995435311513789,0.20967991650104523
Weight_missing,present,160,80,80,74,17,63,6,0.7875,0.075,0.31183582241646945,0.21397865563631058
Weight_missing,missing,29,11,18,7,17,1,4,0.05555555555555555,0.36363636363636365,0.1926858674349456,0.11658080667257309
available_positions,"AV,MV,PV,TV",105,48,57,41,12,45,7,0.7894736842105263,0.14583333333333334,0.2519382304378918,0.1925848126411438
available_positions,"AV,MV",25,19,6,19,0,6,0,1.0,0.0,0.4340884518623352,0.34581947326660156
available_positions,"MV,PV,TV",14,3,11,3,11,0,0,0.0,0.0,0.14970752596855164,0.13411960378289223
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.6033778298984874,0.499900758266449
available_positions,"AV,PV,TV",10,3,7,1,6,1,2,0.14285714285714285,0.6666666666666666,0.1240898385643959,0.12349363043904305
available_positions,"AV,PV",7,2,5,2,2,3,0,0.6,0.0,0.314796972487654,0.28205594420433044
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.30314723402261734,0.3043886721134186
available_positions,AV,3,1,2,1,0,2,0,1.0,0.0,0.5819428563117981,0.46651604771614075
available_positions,PV,3,1,2,1,1,1,0,0.5,0.0,0.18570903688669205,0.21990934014320374
available_positions,"PV,TV",3,2,1,1,1,0,1,0.0,0.5,0.14220586170752844,0.12600277364253998
available_positions,"MV,PV",2,1,1,1,1,0,0,0.0,0.0,0.24623694270849228,0.24623694270849228
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.7950458526611328,0.7950458526611328
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.7686756253242493,0.7686756253242493
has_all_positions,True,105,48,57,41,12,45,7,0.7894736842105263,0.14583333333333334,0.2519382304378918,0.1925848126411438
has_all_positions,False,84,43,41,40,22,19,3,0.4634146341463415,0.06976744186046512,0.3455727088841654,0.2834290415048599
murmur,Absent,145,54,91,47,33,58,7,0.6373626373626373,0.12962962962962962,0.23259321738933694,0.1925848126411438
murmur,Present,32,28,4,26,0,4,2,1.0,0.07142857142857142,0.5285289688035846,0.3399563580751419
murmur,Unknown,12,9,3,8,1,2,1,0.6666666666666666,0.1111111111111111,0.4035565182566643,0.303389772772789
outcome,Normal,98,0,98,0,34,64,0,0.6530612244897959,0.0,0.22350008679287775,0.18729370832443237
outcome,Abnormal,91,91,0,81,0,0,10,0.0,0.10989010989010989,0.3689957498521595,0.2571839988231659
position_count,4,105,48,57,41,12,45,7,0.7894736842105263,0.14583333333333334,0.2519382304378918,0.1925848126411438
position_count,2,38,25,13,24,4,9,1,0.6923076923076923,0.04,0.38798834736409943,0.3332011103630066
position_count,3,29,10,19,8,17,2,2,0.10526315789473684,0.2,0.18429098406742359,0.13618861138820648
position_count,1,17,8,9,8,1,8,0,0.8888888888888888,0.0,0.5258889299105195,0.43994688987731934
top_attention_position,TV,105,42,63,33,26,37,9,0.5873015873015873,0.21428571428571427,0.22934561847221283,0.17888419330120087
top_attention_position,MV,48,29,19,29,2,17,0,0.8947368421052632,0.0,0.40211986533055705,0.3177974671125412
top_attention_position,PV,32,18,14,17,6,8,1,0.5714285714285714,0.05555555555555555,0.29299865453504026,0.23122471570968628
top_attention_position,AV,4,2,2,2,0,2,0,1.0,0.0,0.6806553304195404,0.7165346294641495
