threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.15999999999999998,0.6084656084656085,0.5586206896551724,0.8901098901098901,0.6864406779661016,0.3469387755102041,0.7727272727272727,81,34,64,10,selected,full_val
0.15999999999999998,0.5047619047619047,0.47674418604651164,0.8541666666666666,0.6119402985074627,0.21052631578947367,0.631578947368421,41,12,45,7,selected,complete_position_val
0.2,0.6084656084656085,0.580952380952381,0.6703296703296703,0.6224489795918368,0.5510204081632653,0.6428571428571429,61,54,44,30,fixed_0.20,full_val
0.2,0.5047619047619047,0.46,0.4791666666666667,0.46938775510204084,0.5263157894736842,0.5454545454545454,23,30,27,25,fixed_0.20,complete_position_val
0.3,0.656084656084656,0.75,0.42857142857142855,0.5454545454545454,0.8673469387755102,0.6204379562043796,39,85,13,52,fixed_0.30,full_val
0.3,0.6190476190476191,0.7857142857142857,0.22916666666666666,0.3548387096774194,0.9473684210526315,0.5934065934065934,11,54,3,37,fixed_0.30,complete_position_val
0.4,0.5925925925925926,0.75,0.23076923076923078,0.35294117647058826,0.9285714285714286,0.5652173913043478,21,91,7,70,fixed_0.40,full_val
0.4,0.6,0.875,0.14583333333333334,0.25,0.9824561403508771,0.5773195876288659,7,56,1,41,fixed_0.40,complete_position_val
0.5,0.5925925925925926,0.7916666666666666,0.2087912087912088,0.33043478260869563,0.9489795918367347,0.5636363636363636,19,93,5,72,fixed_0.50,full_val
0.5,0.6,0.875,0.14583333333333334,0.25,0.9824561403508771,0.5773195876288659,7,56,1,41,fixed_0.50,complete_position_val
0.6,0.5873015873015873,0.8421052631578947,0.17582417582417584,0.2909090909090909,0.9693877551020408,0.5588235294117647,16,95,3,75,fixed_0.60,full_val
0.6,0.6095238095238096,1.0,0.14583333333333334,0.2545454545454545,1.0,0.5816326530612245,7,57,0,41,fixed_0.60,complete_position_val
0.7,0.5873015873015873,0.8421052631578947,0.17582417582417584,0.2909090909090909,0.9693877551020408,0.5588235294117647,16,95,3,75,fixed_0.70,full_val
0.7,0.6095238095238096,1.0,0.14583333333333334,0.2545454545454545,1.0,0.5816326530612245,7,57,0,41,fixed_0.70,complete_position_val
0.8,0.5767195767195767,0.8235294117647058,0.15384615384615385,0.25925925925925924,0.9693877551020408,0.5523255813953488,14,95,3,77,fixed_0.80,full_val
0.8,0.6095238095238096,1.0,0.14583333333333334,0.2545454545454545,1.0,0.5816326530612245,7,57,0,41,fixed_0.80,complete_position_val
