group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,55,10,55,2,0.8461538461538461,0.03508771929824561,0.47687320887553886,0.48964616656303406
Age,Infant,33,23,10,23,0,10,0,1.0,0.0,0.6017367948185314,0.6183746457099915
Age,nan,20,5,15,2,8,7,3,0.4666666666666667,0.6,0.3406932719051838,0.32750388979911804
Age,Adolescent,13,6,7,5,3,4,1,0.5714285714285714,0.16666666666666666,0.43315497040748596,0.47664594650268555
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.6501805782318115,0.6501805782318115
Height_missing,present,155,77,78,74,13,65,3,0.8333333333333334,0.03896103896103896,0.4923731043454139,0.5073472261428833
Height_missing,missing,34,14,20,11,8,12,3,0.6,0.21428571428571427,0.4356786814682624,0.42276571691036224
Pregnancy status,False,170,86,84,83,13,71,3,0.8452380952380952,0.03488372093023256,0.4992103635388262,0.5100811719894409
Pregnancy status,True,19,5,14,2,8,6,3,0.42857142857142855,0.6,0.3297444495715593,0.3244452178478241
Sex,Female,104,50,54,46,16,38,4,0.7037037037037037,0.08,0.4651313428408824,0.47104085981845856
Sex,Male,85,41,44,39,5,39,2,0.8863636363636364,0.04878048780487805,0.5030264316236271,0.5204270482063293
Weight_missing,present,160,80,80,77,13,67,3,0.8375,0.0375,0.49624761985614896,0.5100811719894409
Weight_missing,missing,29,11,18,8,8,10,3,0.5555555555555556,0.2727272727272727,0.4045271436715948,0.3728542625904083
available_positions,"AV,MV,PV,TV",105,48,57,45,6,51,3,0.8947368421052632,0.0625,0.4722035124188378,0.4824334681034088
available_positions,"AV,MV",25,19,6,19,0,6,0,1.0,0.0,0.5943043673038483,0.6030040979385376
available_positions,"MV,PV,TV",14,3,11,3,5,6,0,0.5454545454545454,0.0,0.40909381423677715,0.3930758982896805
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.6343931474468925,0.6501805782318115
available_positions,"AV,PV,TV",10,3,7,1,7,0,2,0.0,0.6666666666666666,0.2891519829630852,0.2590396851301193
available_positions,"AV,PV",7,2,5,2,1,4,0,0.8,0.0,0.4147015767438071,0.42111828923225403
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.592146560549736,0.5839636325836182
available_positions,AV,3,1,2,1,0,2,0,1.0,0.0,0.5295078456401825,0.5523251891136169
available_positions,PV,3,1,2,1,1,1,0,0.5,0.0,0.35031919678052265,0.37891530990600586
available_positions,"PV,TV",3,2,1,1,1,0,1,0.0,0.5,0.29324938356876373,0.23751817643642426
available_positions,"MV,PV",2,1,1,1,0,1,0,1.0,0.0,0.5795011520385742,0.5795011520385742
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.6131053566932678,0.6131053566932678
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.5319362878799438,0.5319362878799438
has_all_positions,True,105,48,57,45,6,51,3,0.8947368421052632,0.0625,0.4722035124188378,0.4824334681034088
has_all_positions,False,84,43,41,40,15,26,3,0.6341463414634146,0.06976744186046512,0.4946373516605014,0.5539402365684509
murmur,Absent,145,54,91,49,20,71,5,0.7802197802197802,0.09259259259259259,0.4631411601757181,0.4767068922519684
murmur,Present,32,28,4,27,0,4,1,1.0,0.03571428571428571,0.5556146185845137,0.5985373556613922
murmur,Unknown,12,9,3,9,1,2,0,0.6666666666666666,0.0,0.5163141936063766,0.5651757121086121
outcome,Normal,98,0,98,0,21,77,0,0.7857142857142857,0.0,0.45678990957688315,0.47422629594802856
outcome,Abnormal,91,91,0,85,0,0,6,0.0,0.06593406593406594,0.509510936317863,0.5319362878799438
position_count,4,105,48,57,45,6,51,3,0.8947368421052632,0.0625,0.4722035124188378,0.4824334681034088
position_count,2,38,25,13,24,2,11,1,0.8461538461538461,0.04,0.5350317621701642,0.5833901166915894
position_count,3,29,10,19,8,12,7,2,0.3684210526315789,0.2,0.40001809751165324,0.34867510199546814
position_count,1,17,8,9,8,1,8,0,0.8888888888888888,0.0,0.5657532793634078,0.6131560206413269
top_attention_position,MV,104,56,48,56,0,48,0,1.0,0.0,0.5626803951767775,0.5680011808872223
top_attention_position,TV,58,23,35,17,19,16,6,0.45714285714285713,0.2608695652173913,0.3638955981566988,0.3475715219974518
top_attention_position,AV,20,9,11,9,0,11,0,1.0,0.0,0.4456419512629509,0.43170565366744995
top_attention_position,PV,7,3,4,3,2,2,0,0.5,0.0,0.37048021810395376,0.37891530990600586
