threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.33999999999999997,0.5608465608465608,0.5246913580246914,0.9340659340659341,0.6719367588932806,0.21428571428571427,0.7777777777777778,85,21,77,6,selected,full_val
0.33999999999999997,0.4857142857142857,0.46875,0.9375,0.625,0.10526315789473684,0.6666666666666666,45,6,51,3,selected,complete_position_val
0.2,0.48148148148148145,0.48148148148148145,1.0,0.65,0.0,0.0,91,0,98,0,fixed_0.20,full_val
0.2,0.45714285714285713,0.45714285714285713,1.0,0.6274509803921569,0.0,0.0,48,0,57,0,fixed_0.20,complete_position_val
0.3,0.5079365079365079,0.4941860465116279,0.9340659340659341,0.6463878326996197,0.11224489795918367,0.6470588235294118,85,11,87,6,fixed_0.30,full_val
0.3,0.42857142857142855,0.4411764705882353,0.9375,0.6,0.0,0.0,45,0,57,3,fixed_0.30,complete_position_val
0.4,0.544973544973545,0.5177304964539007,0.8021978021978022,0.6293103448275862,0.30612244897959184,0.625,73,30,68,18,fixed_0.40,full_val
0.4,0.45714285714285713,0.4430379746835443,0.7291666666666666,0.5511811023622047,0.22807017543859648,0.5,35,13,44,13,fixed_0.40,complete_position_val
0.5,0.5661375661375662,0.5483870967741935,0.5604395604395604,0.5543478260869565,0.5714285714285714,0.5833333333333334,51,56,42,40,fixed_0.50,full_val
0.5,0.4666666666666667,0.41304347826086957,0.3958333333333333,0.40425531914893614,0.5263157894736842,0.5084745762711864,19,30,27,29,fixed_0.50,complete_position_val
0.6,0.6084656084656085,0.7575757575757576,0.27472527472527475,0.4032258064516129,0.9183673469387755,0.5769230769230769,25,90,8,66,fixed_0.60,full_val
0.6,0.5904761904761905,0.8571428571428571,0.125,0.21818181818181817,0.9824561403508771,0.5714285714285714,6,56,1,42,fixed_0.60,complete_position_val
0.7,0.5185185185185185,0.0,0.0,0.0,1.0,0.5185185185185185,0,98,0,91,fixed_0.70,full_val
0.7,0.5428571428571428,0.0,0.0,0.0,1.0,0.5428571428571428,0,57,0,48,fixed_0.70,complete_position_val
0.8,0.5185185185185185,0.0,0.0,0.0,1.0,0.5185185185185185,0,98,0,91,fixed_0.80,full_val
0.8,0.5428571428571428,0.0,0.0,0.0,1.0,0.5428571428571428,0,57,0,48,fixed_0.80,complete_position_val
