prob_bin,count,mean_prob_abnormal,observed_abnormal_rate
"(-0.001, 0.1]",13,0.06976953578683046,0.15384615384615385
"(0.1, 0.2]",18,0.15355753236346775,0.3333333333333333
"(0.2, 0.3]",41,0.24984472953691717,0.4634146341463415
"(0.3, 0.4]",43,0.34418203317841817,0.4418604651162791
"(0.4, 0.5]",29,0.4521747570613335,0.3448275862068966
"(0.5, 0.6]",11,0.5379360968416388,0.7272727272727273
"(0.6, 0.7]",6,0.6427182455857595,0.6666666666666666
"(0.7, 0.8]",3,0.7063374121983846,0.6666666666666666
"(0.8, 0.9]",4,0.8324690908193588,0.75
"(0.9, 1.0]",21,0.9587022066116333,0.8571428571428571
