group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,57,2,63,0,0.9692307692307692,0.0,0.39369612065006476,0.3375512957572937
Age,Infant,33,23,10,23,0,10,0,1.0,0.0,0.6260105714653478,0.5598877668380737
Age,nan,20,5,15,3,12,3,2,0.2,0.4,0.13881964292377233,0.09290330484509468
Age,Adolescent,13,6,7,6,0,7,0,1.0,0.0,0.3655759474405876,0.3474307060241699
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.9646545648574829,0.9646545648574829
Height_missing,present,155,77,78,77,0,78,0,1.0,0.0,0.43998427631393555,0.35659411549568176
Height_missing,missing,34,14,20,12,14,6,2,0.3,0.14285714285714285,0.264271984972498,0.1178712397813797
Pregnancy status,False,170,86,84,86,2,82,0,0.9761904761904762,0.0,0.4406594190527411,0.3603123873472214
Pregnancy status,True,19,5,14,3,12,2,2,0.14285714285714285,0.4,0.11951100414520816,0.08772051334381104
Sex,Female,104,50,54,48,14,40,2,0.7407407407407407,0.04,0.38880955080430096,0.3375512957572937
Sex,Male,85,41,44,41,0,44,0,1.0,0.0,0.43231314157738404,0.34446531534194946
Weight_missing,present,160,80,80,80,0,80,0,1.0,0.0,0.4410245112143457,0.3578446954488754
Weight_missing,missing,29,11,18,9,14,4,2,0.2222222222222222,0.18181818181818182,0.22823753529067697,0.1031603142619133
available_positions,"AV,MV,PV,TV",105,48,57,47,3,54,1,0.9473684210526315,0.020833333333333332,0.39285874132599147,0.3334645926952362
available_positions,"AV,MV",25,19,6,19,0,6,0,1.0,0.0,0.5213042628765107,0.4468877613544464
available_positions,"MV,PV,TV",14,3,11,3,4,7,0,0.6363636363636364,0.0,0.20933991457734788,0.19772960245609283
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.6277571781115099,0.5598877668380737
available_positions,"AV,PV,TV",10,3,7,3,4,3,0,0.42857142857142855,0.0,0.19930708780884743,0.17990831285715103
available_positions,"AV,PV",7,2,5,2,2,3,0,0.6,0.0,0.43911222953881535,0.47291985154151917
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.494170680642128,0.469717338681221
available_positions,AV,3,1,2,1,0,2,0,1.0,0.0,0.6048297981421152,0.4928858280181885
available_positions,PV,3,1,2,1,0,2,0,1.0,0.0,0.350432554880778,0.3771056532859802
available_positions,"PV,TV",3,2,1,1,0,1,1,1.0,0.5,0.12370383987824123,0.13728450238704681
available_positions,"MV,PV",2,1,1,1,1,0,0,0.0,0.0,0.507150337100029,0.507150337100029
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.9365095496177673,0.9365095496177673
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.8327001333236694,0.8327001333236694
has_all_positions,True,105,48,57,47,3,54,1,0.9473684210526315,0.020833333333333332,0.39285874132599147,0.3334645926952362
has_all_positions,False,84,43,41,42,11,30,1,0.7317073170731707,0.023255813953488372,0.4277695533154266,0.36929039657115936
murmur,Absent,145,54,91,52,14,77,2,0.8461538461538461,0.037037037037037035,0.3397270542537344,0.3177880644798279
murmur,Present,32,28,4,28,0,4,0,1.0,0.0,0.6856739926151931,0.754477858543396
murmur,Unknown,12,9,3,9,0,3,0,1.0,0.0,0.4984016406039397,0.40870052576065063
outcome,Normal,98,0,98,0,14,84,0,0.8571428571428571,0.0,0.32682929503522357,0.31230688095092773
outcome,Abnormal,91,91,0,89,0,0,2,0.0,0.02197802197802198,0.49619274070629704,0.3914166986942291
position_count,4,105,48,57,47,3,54,1,0.9473684210526315,0.020833333333333332,0.39285874132599147,0.3334645926952362
position_count,2,38,25,13,24,3,10,1,0.7692307692307693,0.04,0.4822238027853401,0.4462312012910843
position_count,3,29,10,19,10,8,11,0,0.5789473684210527,0.0,0.27024213635715943,0.2010299414396286
position_count,1,17,8,9,8,0,9,0,1.0,0.0,0.5747715304879581,0.4928858280181885
top_attention_position,MV,109,54,55,53,6,49,1,0.8909090909090909,0.018518518518518517,0.4088206682183327,0.35218316316604614
top_attention_position,PV,58,24,34,23,5,29,1,0.8529411764705882,0.041666666666666664,0.35829555416672393,0.3219238668680191
top_attention_position,TV,17,11,6,11,3,3,0,0.5,0.0,0.5198924418757943,0.3795495927333832
top_attention_position,AV,5,2,3,2,0,3,0,1.0,0.0,0.6004087656736374,0.4928858280181885
