threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.10999999999999999,0.544973544973545,0.5144508670520231,0.978021978021978,0.6742424242424242,0.14285714285714285,0.875,89,14,84,2,selected,full_val
0.10999999999999999,0.47619047619047616,0.46534653465346537,0.9791666666666666,0.6308724832214765,0.05263157894736842,0.75,47,3,54,1,selected,complete_position_val
0.2,0.5608465608465608,0.5253164556962026,0.9120879120879121,0.6666666666666666,0.23469387755102042,0.7419354838709677,83,23,75,8,fixed_0.20,full_val
0.2,0.47619047619047616,0.4631578947368421,0.9166666666666666,0.6153846153846154,0.10526315789473684,0.6,44,6,51,4,fixed_0.20,complete_position_val
0.3,0.5767195767195767,0.5470085470085471,0.7032967032967034,0.6153846153846154,0.45918367346938777,0.625,64,45,53,27,fixed_0.30,full_val
0.3,0.47619047619047616,0.44776119402985076,0.625,0.5217391304347826,0.3508771929824561,0.5263157894736842,30,20,37,18,fixed_0.30,complete_position_val
0.4,0.6031746031746031,0.6081081081081081,0.4945054945054945,0.5454545454545454,0.7040816326530612,0.6,45,69,29,46,fixed_0.40,full_val
0.4,0.5619047619047619,0.5277777777777778,0.3958333333333333,0.4523809523809524,0.7017543859649122,0.5797101449275363,19,40,17,29,fixed_0.40,complete_position_val
0.5,0.6507936507936508,0.7777777777777778,0.38461538461538464,0.5147058823529411,0.8979591836734694,0.6111111111111112,35,88,10,56,fixed_0.50,full_val
0.5,0.6571428571428571,0.8,0.3333333333333333,0.47058823529411764,0.9298245614035088,0.6235294117647059,16,53,4,32,fixed_0.50,complete_position_val
0.6,0.6243386243386243,0.7941176470588235,0.2967032967032967,0.432,0.9285714285714286,0.5870967741935483,27,91,7,64,fixed_0.60,full_val
0.6,0.6476190476190476,0.8666666666666667,0.2708333333333333,0.4126984126984127,0.9649122807017544,0.6111111111111112,13,55,2,35,fixed_0.60,complete_position_val
0.7,0.6137566137566137,0.8214285714285714,0.25274725274725274,0.3865546218487395,0.9489795918367347,0.577639751552795,23,93,5,68,fixed_0.70,full_val
0.7,0.6285714285714286,0.9090909090909091,0.20833333333333334,0.3389830508474576,0.9824561403508771,0.5957446808510638,10,56,1,38,fixed_0.70,complete_position_val
0.8,0.6084656084656085,0.84,0.23076923076923078,0.3620689655172414,0.9591836734693877,0.573170731707317,21,94,4,70,fixed_0.80,full_val
0.8,0.6285714285714286,1.0,0.1875,0.3157894736842105,1.0,0.59375,9,57,0,39,fixed_0.80,complete_position_val
