group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,52,4,61,5,0.9384615384615385,0.08771929824561403,0.5282143967562034,0.5357920229434967
Age,Infant,33,23,10,23,1,9,0,0.9,0.0,0.5735347018097386,0.575796365737915
Age,nan,20,5,15,0,14,1,5,0.06666666666666667,1.0,0.14889447391033173,0.12229200452566147
Age,Adolescent,13,6,7,6,3,4,0,0.5714285714285714,0.0,0.496065059533486,0.5167133808135986
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.5647026896476746,0.5647026896476746
Height_missing,present,155,77,78,73,7,71,4,0.9102564102564102,0.05194805194805195,0.535895820010093,0.5439545512199402
Height_missing,missing,34,14,20,8,15,5,6,0.25,0.42857142857142855,0.3028349236530416,0.21026411652565002
Pregnancy status,False,170,86,84,81,8,76,5,0.9047619047619048,0.05813953488372093,0.5345306762877633,0.5372304618358612
Pregnancy status,True,19,5,14,0,14,0,5,0.0,1.0,0.13105392299200358,0.12229200452566147
Sex,Female,104,50,54,44,18,36,6,0.6666666666666666,0.12,0.4706850808400374,0.5467806458473206
Sex,Male,85,41,44,37,4,40,4,0.9090909090909091,0.0975609756097561,0.5224587188047521,0.532817542552948
Weight_missing,present,160,80,80,76,7,73,4,0.9125,0.05,0.5382159208878875,0.544352650642395
Weight_missing,missing,29,11,18,5,15,3,6,0.16666666666666666,0.5454545454545454,0.24985145392089053,0.21026411652565002
available_positions,"AV,MV,PV,TV",105,48,57,44,2,55,4,0.9649122807017544,0.08333333333333333,0.51892878867331,0.5358089208602905
available_positions,"AV,MV",25,19,6,19,0,6,0,1.0,0.0,0.6148100018501281,0.63188236951828
available_positions,"MV,PV,TV",14,3,11,3,6,5,0,0.45454545454545453,0.0,0.3339803766991411,0.456290528178215
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.5477948486804962,0.5524294972419739
available_positions,"AV,PV,TV",10,3,7,0,7,0,3,0.0,1.0,0.2784546375274658,0.38206806778907776
available_positions,"AV,PV",7,2,5,2,3,2,0,0.4,0.0,0.34250528046063017,0.45319676399230957
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.5359176993370056,0.5405320525169373
available_positions,AV,3,1,2,1,0,2,0,1.0,0.0,0.5393509169419607,0.5670912265777588
available_positions,PV,3,1,2,0,2,0,1,0.0,1.0,0.43042739232381183,0.43618589639663696
available_positions,"PV,TV",3,2,1,0,1,0,2,0.0,1.0,0.2989921694000562,0.3978439271450043
available_positions,"MV,PV",2,1,1,1,1,0,0,0.0,0.0,0.30346502363681793,0.30346502363681793
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.5355526804924011,0.5355526804924011
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.5264497399330139,0.5264497399330139
has_all_positions,True,105,48,57,44,2,55,4,0.9649122807017544,0.08333333333333333,0.51892878867331,0.5358089208602905
has_all_positions,False,84,43,41,37,20,21,6,0.5121951219512195,0.13953488372093023,0.4627704368460746,0.5029392391443253
murmur,Absent,145,54,91,45,21,70,9,0.7692307692307693,0.16666666666666666,0.4788835340532763,0.5338119864463806
murmur,Present,32,28,4,27,0,4,1,1.0,0.03571428571428571,0.5453911311924458,0.5372304618358612
murmur,Unknown,12,9,3,9,1,2,0,0.6666666666666666,0.0,0.539134239157041,0.5535609126091003
outcome,Normal,98,0,98,0,22,76,0,0.7755102040816326,0.0,0.46542711578765694,0.5331802368164062
outcome,Abnormal,91,91,0,81,0,0,10,0.0,0.10989010989010989,0.5247074962481038,0.5383062958717346
position_count,4,105,48,57,44,2,55,4,0.9649122807017544,0.08333333333333333,0.51892878867331,0.5358089208602905
position_count,2,38,25,13,23,5,8,2,0.6153846153846154,0.08,0.5210037711811694,0.5629047155380249
position_count,3,29,10,19,7,13,6,3,0.3157894736842105,0.3,0.34963776299665716,0.4424009919166565
position_count,1,17,8,9,7,2,7,1,0.7777777777777778,0.125,0.5255928390166339,0.5520881414413452
