threshold,accuracy,abnormal_precision,abnormal_recall,abnormal_f1,specificity,npv,tp,tn,fp,fn,threshold_name,subset
0.4499999999999999,0.544973544973545,0.5159235668789809,0.8901098901098901,0.6532258064516129,0.22448979591836735,0.6875,81,22,76,10,selected,full_val
0.4499999999999999,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,selected,complete_position_val
0.2,0.5396825396825397,0.5113636363636364,0.989010989010989,0.6741573033707865,0.12244897959183673,0.9230769230769231,90,12,86,1,fixed_0.20,full_val
0.2,0.45714285714285713,0.45714285714285713,1.0,0.6274509803921569,0.0,0.0,48,0,57,0,fixed_0.20,complete_position_val
0.3,0.5291005291005291,0.5058823529411764,0.945054945054945,0.6590038314176245,0.14285714285714285,0.7368421052631579,86,14,84,5,fixed_0.30,full_val
0.3,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.30,complete_position_val
0.4,0.5238095238095238,0.5029940119760479,0.9230769230769231,0.6511627906976745,0.15306122448979592,0.6818181818181818,84,15,83,7,fixed_0.40,full_val
0.4,0.4380952380952381,0.4444444444444444,0.9166666666666666,0.5986394557823129,0.03508771929824561,0.3333333333333333,44,2,55,4,fixed_0.40,complete_position_val
0.5,0.5608465608465608,0.5289855072463768,0.8021978021978022,0.6375545851528385,0.336734693877551,0.6470588235294118,73,33,65,18,fixed_0.50,full_val
0.5,0.4666666666666667,0.4583333333333333,0.9166666666666666,0.6111111111111112,0.08771929824561403,0.5555555555555556,44,5,52,4,fixed_0.50,complete_position_val
0.6,0.5661375661375662,0.8461538461538461,0.12087912087912088,0.21153846153846154,0.9795918367346939,0.5454545454545454,11,96,2,80,fixed_0.60,full_val
0.6,0.5428571428571428,0.0,0.0,0.0,1.0,0.5428571428571428,0,57,0,48,fixed_0.60,complete_position_val
0.7,0.5185185185185185,0.0,0.0,0.0,1.0,0.5185185185185185,0,98,0,91,fixed_0.70,full_val
0.7,0.5428571428571428,0.0,0.0,0.0,1.0,0.5428571428571428,0,57,0,48,fixed_0.70,complete_position_val
0.8,0.5185185185185185,0.0,0.0,0.0,1.0,0.5185185185185185,0,98,0,91,fixed_0.80,full_val
0.8,0.5428571428571428,0.0,0.0,0.0,1.0,0.5428571428571428,0,57,0,48,fixed_0.80,complete_position_val
