group_by,group_value,total,abnormal_total,normal_total,TP,TN,FP,FN,fp_rate_among_normals,fn_rate_among_abnormals,mean_prob_abnormal,median_prob_abnormal
Age,Child,122,57,65,54,4,61,3,0.9384615384615385,0.05263157894736842,0.63749888124036,0.6484523117542267
Age,Infant,33,23,10,22,1,9,1,0.9,0.043478260869565216,0.6391217112541199,0.6750848889350891
Age,nan,20,5,15,0,14,1,5,0.06666666666666667,1.0,0.10706494161859155,0.09422724694013596
Age,Adolescent,13,6,7,6,3,4,0,0.5714285714285714,0.0,0.5837420156368842,0.6439676284790039
Age,Neonate,1,0,1,0,0,1,0,1.0,0.0,0.6499573588371277,0.6499573588371277
Height_missing,present,155,77,78,73,8,70,4,0.8974358974358975,0.05194805194805195,0.6368032749622099,0.6506174206733704
Height_missing,missing,34,14,20,9,14,6,5,0.3,0.35714285714285715,0.3100374928839943,0.12635327875614166
Pregnancy status,False,170,86,84,82,8,76,4,0.9047619047619048,0.046511627906976744,0.6337419029544381,0.6494217216968536
Pregnancy status,True,19,5,14,0,14,0,5,0.0,1.0,0.07945573026020276,0.0932970941066742
Sex,Female,104,50,54,44,17,37,6,0.6851851851851852,0.12,0.5378583260059643,0.6706233620643616
Sex,Male,85,41,44,38,5,39,3,0.8863636363636364,0.07317073170731707,0.6271590173244477,0.6457492113113403
Weight_missing,present,160,80,80,76,8,72,4,0.9,0.05,0.6350896129384637,0.6497879326343536
Weight_missing,missing,29,11,18,6,14,4,5,0.2222222222222222,0.45454545454545453,0.2631532519670396,0.12176379561424255
available_positions,"AV,MV,PV,TV",105,48,57,44,2,55,4,0.9649122807017544,0.08333333333333333,0.626300153491043,0.6480495929718018
available_positions,"AV,MV",25,19,6,19,0,6,0,1.0,0.0,0.6797378706932068,0.6794694066047668
available_positions,"MV,PV,TV",14,3,11,3,5,6,0,0.5454545454545454,0.0,0.43403412508113043,0.6122909188270569
available_positions,MV,11,6,5,6,0,5,0,1.0,0.0,0.6567403890869834,0.6526006460189819
available_positions,"AV,PV,TV",10,3,7,2,6,1,1,0.14285714285714285,0.3333333333333333,0.30324132181704044,0.4732624888420105
available_positions,"AV,PV",7,2,5,2,3,2,0,0.4,0.0,0.3606250988585608,0.4943295419216156
available_positions,"AV,MV,PV",4,3,1,3,0,1,0,1.0,0.0,0.6331395208835602,0.6716057062149048
available_positions,AV,3,1,2,0,2,0,1,0.0,1.0,0.3394613762696584,0.33541738986968994
available_positions,PV,3,1,2,0,2,0,1,0.0,1.0,0.39162976543108624,0.38877183198928833
available_positions,"PV,TV",3,2,1,0,1,0,2,0.0,1.0,0.2784427149842183,0.40710774064064026
available_positions,"MV,PV",2,1,1,1,1,0,0,0.0,0.0,0.37160826846957207,0.37160826846957207
available_positions,"AV,MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.6634293794631958,0.6634293794631958
available_positions,"MV,TV",1,1,0,1,0,0,0,0.0,0.0,0.66560298204422,0.66560298204422
has_all_positions,True,105,48,57,44,2,55,4,0.9649122807017544,0.08333333333333333,0.626300153491043,0.6480495929718018
has_all_positions,False,84,43,41,38,20,21,5,0.5121951219512195,0.11627906976744186,0.5176698364361766,0.6357853412628174
murmur,Absent,145,54,91,47,21,70,7,0.7692307692307693,0.12962962962962962,0.5592525276772935,0.6466454267501831
murmur,Present,32,28,4,27,0,4,1,1.0,0.03571428571428571,0.6528973886743188,0.6509127914905548
murmur,Unknown,12,9,3,8,1,2,1,0.6666666666666666,0.1111111111111111,0.6051207855343819,0.6599527597427368
outcome,Normal,98,0,98,0,22,76,0,0.7755102040816326,0.0,0.546576465232944,0.6454392075538635
outcome,Abnormal,91,91,0,82,0,0,9,0.0,0.0989010989010989,0.6118822943337343,0.6506174206733704
position_count,4,105,48,57,44,2,55,4,0.9649122807017544,0.08333333333333333,0.626300153491043,0.6480495929718018
position_count,2,38,25,13,23,5,8,2,0.6153846153846154,0.08,0.5726834242967399,0.6752199530601501
position_count,3,29,10,19,9,11,8,1,0.42105263157894735,0.1,0.4243061528380575,0.5024585723876953
position_count,1,17,8,9,6,4,5,2,0.5555555555555556,0.25,0.5539657473564148,0.6478368043899536
top_attention_position,TV,61,22,39,20,8,31,2,0.7948717948717948,0.09090909090909091,0.569844923944014,0.6461486220359802
top_attention_position,AV,48,24,24,23,8,16,1,0.6666666666666666,0.041666666666666664,0.5564403501339257,0.651909589767456
top_attention_position,PV,46,25,21,21,5,16,4,0.7619047619047619,0.16,0.5873968845800214,0.6450876593589783
top_attention_position,MV,34,20,14,18,1,13,2,0.9285714285714286,0.1,0.6104661329265904,0.6594391763210297
